No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Konfigurasi
1,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.509,0.062,0.6,0.02,0.0,1.0,1.0,0.375,0.238,0.462,8,15.49,Folder (lokal / Google Drive),,"Berdasarkan diskusi tim, bug yang ditemukan pada proses submit di BOND_SYS adalah:

**Bug:**
Setelah melakukan submit, halaman tidak otomatis refresh, dan status di admin masih ""merah"" (tidak diperbarui) sampai halaman di-refresh secara manual. (Sumber 8)

**Solusi yang diusulkan:**
Tombol submit seharusnya bisa sekaligus melakukan refresh atau redirect ke halaman yang sudah diperbarui. (Sumber 8)",Ablasi-0: Chat only (L3)
2,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.405,0.064,0.7,0.019,0.0,1.0,1.0,0.5,0.237,0.427,8,6.11,Folder (lokal / Google Drive),,"Konteks yang diberikan menyatakan bahwa ""validasi desimal offering price dan offering digit di BOND_SYS"" adalah topik percakapan personal antara Dev_B dan PO_1 (Sumber 1).

Namun, keputusan teknis spesifik terkait validasi hardcode atau keputusan akhir mengenai offering digit tidak dijelaskan dalam sumber data yang tersedia. Sumber hanya menyebutkan bahwa hal tersebut merupakan subjek diskusi.",Ablasi-0: Chat only (L3)
3,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.422,0.033,0.467,0.01,0.0,1.0,1.0,0.375,0.186,0.434,8,4.85,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Diskusi tim MOFIDS yang tersedia mencakup periode September 2022 hingga Januari 2023, tetapi tidak ada catatan mengenai insiden ETL MOFIDS pada Februari 2023.",Ablasi-0: Chat only (L3)
4,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.474,0.07,0.688,0.019,0.0,1.0,1.0,0.375,0.25,0.448,8,9.64,Folder (lokal / Google Drive),,"Berdasarkan konteks yang diberikan, berikut adalah alur upload allocation dan perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim:

**Alur Upload Allocation:**

1.  Lelang harus selesai terlebih dahulu.
2.  Setelah lelang selesai, proses ""upload alokasi"" dapat dilakukan.
3.  File untuk upload alokasi seharusnya merupakan hasil download, namun ada",Ablasi-0: Chat only (L3)
5,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.426,0.151,0.727,0.063,0.0,1.0,1.0,0.5,0.274,0.428,8,17.15,Folder (lokal / Google Drive),,"Berdasarkan konteks yang diberikan, status implementasi fitur amend pada modul trade custody adalah sebagai berikut:

*   **Status:** Masih IN PROGRESS.
*   **Isu/Bug yang belum diselesaikan:**
    *   Bug confirm amend belum di-fix, di mana logic untuk membuat row baru vs update row lama belum konsisten. Dev_C menjelaskan bahwa pada konfirmasi pertama, sistem membuat row baru dan menonaktifkan yang lama, tetapi pada konfirmasi kedua (confirm amend), sistem tidak membuat row baru atau memperbarui yang lama menjadi non-aktif. Seharusnya, jika membutuhkan histori, setiap konfirmasi harus memperbarui yang lama menjadi non-aktif dan membuat yang baru; jika tidak membutuhkan histori, cukup memperbarui yang lama.
    *   Kolom CASH in / CASH out perlu dicek apakah seharusnya ada atau tidak, karena Dev_B menemukan kolom tersebut tidak ada di lingkungan dev meskipun secara kode ada.
*   **Target:** Selesai sebelum naik ke staging.",Ablasi-0: Chat only (L3)
1,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.562,0.141,0.5,0.045,0.0,1.0,1.0,0.125,0.25,0.458,8,21.17,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menjelaskan bahwa proses submit kuotasi pada Debtswitch Staple Bonds mengikuti proses yang sudah ada pada Debt switch, dan tidak ada perubahan pada alur proses submit kuotasi oleh Dealer Utama (seperti quotation confirmation page, maker checker dan lainnya). Namun, tidak ada informasi mengenai bug yang ditemukan atau solusinya.",Ablasi-1: FR only (L1)
2,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.578,0.02,0.0,0.005,0.0,1.0,1.0,0.25,0.121,0.462,8,14.46,Folder (lokal / Google Drive),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Ablasi-1: FR only (L1)
3,"Berdasarkan log diskusi tim, apa yang terjadi pada insiden ETL MOFIDS Februari 2023, apa penyebabnya, dan bagaimana tim merespons insiden tersebut?",0.441,0.017,0.0,0.005,0.0,1.0,1.0,0.25,0.093,0.427,8,7.78,Folder (lokal / Google Drive),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Ablasi-1: FR only (L1)
4,"Berdasarkan FR, data sistem, dan diskusi tim — bagaimana alur upload allocation, dan apa perbedaan antara spesifikasi FR dengan kondisi aktual yang ditemukan tim?",0.574,0.389,0.375,0.185,0.001,1.0,1.0,0.125,0.305,0.47,8,23.44,Folder (lokal / Google Drive),,"Berdasarkan konteks yang tersedia:

**Alur upload allocation:**
Alur proses alokasi, yang mencakup penanganan dan distribusi data alokasi (implied ""upload""), adalah sebagai berikut:
1.  GOV_DEPT1 memilih target untuk menyaring data entri lelang yang akan dialokasikan sebagai pemenang.
2.  Proses alokasi menggunakan mekanisme Maker-Checker, di mana persetujuan oleh Checker dilakukan dengan memasukkan username dan password di confirmation window.
3.  Proses alokasi hanya dapat dilakukan sesudah waktu sesi lelang dan sebelum waktu End of Allocation Time yang sudah dibuat pada proses ""Entri Persiapan Lelang"".
4.  GOV_DEPT1 harus menginput minimal satu target sebelum sistem dapat menyaring data entri lelang.
5.  Jika target yang dipilih lebih dari 1, relasi antar target menggunakan ""AND"". Contoh: jika GOV_DEPT1 memilih target price 102.5 dan target volume 1000 mio, maka rekomendasi dari sistem akan mencentang data kuotasi dengan price <= 102.5 dan akumulasi volume <= 1000 mio.
6.  Data yang sudah di-approve tidak dapat dibatalkan.
7.  Data pemenang lelang berhasil disimpan di sistem BOND_SYS dan EXT_SYS_1.
8.  Data volume yang dikirim ke EXT_SYS_1 harus dalam satuan ""bio"".
9.  Proses pengiriman data trade dari BOND_SYS ke EXT_SYS_1 akan dilakukan secara otomatis. Jika proses pengiriman secara otomatis gagal, user dapat melakukan pengiriman kembali",Ablasi-1: FR only (L1)
5,"Berdasarkan seluruh sumber, apa status implementasi fitur amend pada modul trade custody?",0.632,0.127,0.727,0.027,0.0,1.0,1.0,0.125,0.303,0.474,8,15.27,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menjelaskan persyaratan fungsional untuk layanan perdagangan dealer utama, termasuk berbagai jenis lelang (Simple Auction, Buyback Cash, Buyback Debt Switch, Staple Bonds) dan detail terkait data, proses, serta batasan-batasannya, tetapi tidak ada informasi mengenai status implementasi fitur amend pada modul trade custody.",Ablasi-1: FR only (L1)
