No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,Dimensi TK,KTE,MSRS,AQI
1,"Apa masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo, dan bagaimana workaround sementara yang disepakati?",0.441,0.031,0.867,0.008,0.0,1.0,1.0,0.375,0.269,0.438,8,17.17,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks tidak menyebutkan masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo, maupun workaround sementara yang disepakati untuk masalah tersebut.",Chat Only (L3),Tacit → Operational,0.449,0.6875,0.302
2,"Berdasarkan log diskusi tim, mengapa fitur upload allocation tidak dapat didemonstrasikan pada sesi demo 27 Juli 2022?",0.516,0.073,0.8,0.022,0.0,1.0,1.0,0.5,0.282,0.458,8,2.69,Folder (lokal / Google Drive),,"Berdasarkan log diskusi tim pada 27 Juli 2022, fitur upload allocation tidak dapat didemonstrasikan karena setelah update dari Ko Dhifa, masih ada yang kurang di file downloadnya, sehingga file tersebut tidak bisa digunakan untuk upload allocation.",Chat Only (L3),Tacit → Operational,0.4365,0.75,0.29833333333333334
3,Apa yang didiskusikan tim terkait isu NEWCORE-2442 dan apa status penyelesaiannya berdasarkan log percakapan?,0.46,0.064,0.833,0.029,0.0,1.0,1.0,0.375,0.277,0.447,8,3.12,Folder (lokal / Google Drive),,"Tim mendiskusikan isu NEWCORE-2442 terkait dengan:
*   Kekurangan di backend untuk filter status WAITING dan mengeluarkan status CLOSED dan ALLOCATED.
*   Pertanyaan apakah fitur tersebut perlu bersifat realtime.

Berdasarkan log percakapan, status penyelesaiannya adalah:
*   Backend masih dibutuhkan untuk mendukung filter status WAITING, CLOSED, dan ALLOCATED.
*   Fitur tersebut belum realtime.
*   Ada diskusi mengenai penambahan status WAITING ke database dan kebutuhan backend untuk itu.",Chat Only (L3),Tacit → Operational,0.4485,0.6875,0.3086666666666667
4,Apa keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk last price dan offering price?,0.473,0.1,0.917,0.032,0.0,1.0,1.0,0.5,0.304,0.436,8,8.42,Folder (lokal / Google Drive),,"Berdasarkan konteks yang diberikan, keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk *last price* dan *offering price* adalah sebagai berikut:

*   **Last Price dan Offering Price** harus bisa menerima dan menyimpan hingga 5 angka di belakang koma.
*   Nilai yang diinput (misalnya 30.12345) harus disimpan persis seperti yang diinput (30.12345), bukan dibulatkan atau dipotong menjadi 2 angka di belakang koma (misalnya 30.12).
*   Perubahan ini tidak akan terpengaruh oleh *offering parameter*.

Sebelumnya, terdapat validasi di tabel yang membatasi penerimaan angka di belakang koma hanya dua digit, yang oleh Dev_B disebut sebagai *hardcode*. Namun, setelah konfirmasi dari PO_1 kepada user, disepakati untuk mengubahnya agar sesuai dengan kebutuhan user.",Chat Only (L3),Tacit → Operational,0.5085000000000001,0.75,0.34966666666666674
5,Apa status implementasi fitur amend pada modul trade custody berdasarkan diskusi tim Februari 2025?,0.474,0.106,0.846,0.041,0.0,1.0,1.0,0.5,0.293,0.438,8,4.85,Folder (lokal / Google Drive),,"Berdasarkan diskusi tim pada Februari 2025, fitur amend pada modul trade custody sedang dalam tahap pengembangan dan pengecekan.

Beberapa poin terkait status implementasinya adalah:
*   Ada diskusi mengenai perilaku ""confirm amend"" di trade custody, di mana pada konfirmasi kedua (confirm amend) tidak membuat baris baru atau mengubah yang lama menjadi non-aktif, berbeda dengan konfirmasi pertama. (09/02/2025)
*   Dev_B menemukan bahwa saat mengecek amend di lingkungan pengembangan (dev), ada kolom ""CASH in / CASH out"" yang tidak muncul, meskipun secara kode kolom tersebut ada. (12/02/2025)
*   PO_3 menyatakan bahwa nilai pada amend seharusnya dihitung ulang jika ada perubahan. (12/02/2025)

Ini menunjukkan bahwa fitur tersebut masih dalam proses pengembangan, pengujian, dan perbaikan, dengan beberapa isu fungsional dan tampilan yang sedang ditangani.",Chat Only (L3),Tacit → Operational,0.476,0.75,0.331
6,Apa saja tahapan utama proses Buyback Cash dalam sistem MOFIDS?,0.681,0.058,0.778,0.016,0.0,1.0,1.0,0.25,0.307,0.513,8,24.59,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menjelaskan tahapan utama proses Buyback Cash dalam sistem BOND_SYS dan EXT_SYS_2, tetapi tidak menyebutkan sistem MOFIDS.",FR/PDF (L1),Explicit → Actionable,0.41800000000000004,0.625,0.28400000000000003
7,Apa perbedaan antara sesi General dan sesi Restricted dalam lelang LPKSBN?,0.526,0.179,0.875,0.084,0.0,1.0,1.0,0.25,0.333,0.443,8,14.27,Folder (lokal / Google Drive),,"Berdasarkan konteks yang diberikan, perbedaan antara sesi General dan sesi Restricted dalam lelang adalah sebagai berikut:

*   **Sesi General:** Pada sesi ini, Dealer Utama (DU) dapat melakukan kuotasi baru dan melakukan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume) terhadap kuotasi yang sudah dibuat.
*   **Sesi Restricted:** Pada sesi ini, DU dapat melakukan kuotasi baru dan melakukan revisi harga (price)/imbal hasil (yield) tetapi **tidak dapat** melakukan revisi kuantitas (volume).

Konteks (Sumber 7) menyatakan bahwa proses lelang untuk **Buyback Debt Switch** dan **Buyback Cash** dibagi menjadi 2 sesi, yaitu sesi General dan sesi Restricted. Namun, informasi mengenai apakah ""lelang LPKSBN"" termasuk dalam kategori lelang yang memiliki kedua sesi ini, atau hanya memiliki satu sesi general seperti yang disebutkan dalam Sumber 6 untuk proses lelang secara umum, tidak ditemukan secara spesifik dalam sumber data yang tersedia.",FR/PDF (L1),Explicit → Actionable,0.527,0.625,0.37933333333333336
8,Siapa saja pihak yang terlibat dalam proses persetujuan (approval) pembuatan RFQ?,0.507,0.11,0.778,0.059,0.0,1.0,1.0,0.25,0.291,0.442,8,13.79,Folder (lokal / Google Drive),,"Pihak yang terlibat dalam proses persetujuan (approval) pembuatan RFQ adalah:

1.  **BOND_SYS Admin**: Bertanggung jawab untuk mengentri data persiapan lelang. (Sumber 1)
2.  **GOV_DEPT1**: Bertanggung jawab untuk memeriksa dan memverifikasi data persiapan lelang yang sudah dientri oleh BOND_SYS Admin. Jika data lelang sudah sesuai, GOV_DEPT1 dapat melakukan ""disclose lelang"" untuk menyatakan bahwa data lelang sudah benar dan lelang siap dimulai. GOV_DEPT1 tidak dapat mengubah detail data persiapan lelang, hanya memverifikasi. (Sumber 1, Sumber 7)",FR/PDF (L1),Explicit → Actionable,0.444,0.625,0.3156666666666667
9,Apa persyaratan teknis untuk fitur Upload Allocation berdasarkan FR?,0.575,0.121,0.571,0.026,0.0,1.0,1.0,0.125,0.259,0.46,8,72.64,Folder (lokal / Google Drive),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks hanya menyebutkan adanya fungsi ""Upload Alokasi"" (BOND_MOD-BCDS06 untuk Buyback Cash dan BOND_MOD-SA05 untuk Simple Auction) tetapi tidak memberikan persyaratan teknis untuk fitur tersebut.",FR/PDF (L1),Explicit → Actionable,0.346,0.5625,0.23933333333333331
10,Bagaimana mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam FR?,0.613,0.104,0.375,0.046,0.0,1.0,1.0,0.375,0.228,0.47,8,8.26,Folder (lokal / Google Drive),,"Setelah proses alokasi selesai dilakukan, sistem secara otomatis akan mengirim pesan di Broadcast Box untuk memberi tahu bahwa proses alokasi sudah dilakukan dan Dealer Utama (DU) dapat meng-update data Sub Registry.",FR/PDF (L1),Explicit → Actionable,0.2395,0.6875,0.17500000000000002
