No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,Dimensi TK,KTE,MSRS,AQI
1,"Apa masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo, dan bagaimana workaround sementara yang disepakati?",0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0335,0.0,0.022333333333333334
2,"Berdasarkan log diskusi tim, mengapa fitur upload allocation tidak dapat didemonstrasikan pada sesi demo 27 Juli 2022?",0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan tidak ada dokumen atau data referensi yang tersedia untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0335,0.0,0.022333333333333334
3,Apa yang didiskusikan tim terkait isu NEWCORE-2442 dan apa status penyelesaiannya berdasarkan log percakapan?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
4,Apa keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk last price dan offering price?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
5,Apa status implementasi fitur amend pada modul trade custody berdasarkan diskusi tim Februari 2025?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menyatakan bahwa tidak ada dokumen atau data referensi yang diberikan untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
6,Apa saja tahapan utama proses Buyback Cash dalam sistem MOFIDS?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
7,Apa perbedaan antara sesi General dan sesi Restricted dalam lelang LPKSBN?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
8,Siapa saja pihak yang terlibat dalam proses persetujuan (approval) pembuatan RFQ?,0.0,0.0,0.778,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Berdasarkan pengetahuan umum, pihak-pihak yang umumnya terlibat dalam proses persetujuan (approval) pembuatan RFQ (Request for Quotation) meliputi:

1.  **Pemohon/Inisiator:** Pihak atau departemen yang mengajukan kebutuhan dan memulai proses pembuatan RFQ. Mereka bertanggung jawab atas draf awal dan justifikasi kebutuhan.
2.  **Departemen Pengadaan (Procurement/Purchasing):** Bertanggung jawab untuk meninjau, menyempurnakan, dan memastikan RFQ sesuai dengan kebijakan pengadaan perusahaan. Mereka seringkali menjadi pihak yang memberikan persetujuan teknis dan prosedural.
3.  **Manajer/Kepala Departemen (dari departemen pemohon):** Memberikan persetujuan atas kebutuhan dan spesifikasi yang diajukan, memastikan bahwa RFQ sesuai dengan tujuan dan anggaran departemen.
4.  **Pemegang Anggaran/Departemen Keuangan:** Memberikan persetujuan finansial, memastikan bahwa ada anggaran yang tersedia untuk pembelian yang akan dilakukan dan bahwa nilai RFQ berada dalam batas anggaran yang disetujui.
5.  **Manajemen Senior (untuk RFQ bernilai tinggi atau strategis):** Untuk pengadaan yang signifikan atau strategis, persetujuan mungkin diperlukan dari level manajemen yang lebih tinggi (misalnya, Direktur atau VP).
6.  **Departemen Hukum (untuk RFQ kompleks/bernilai tinggi):** Dapat terlibat untuk meninjau syarat dan ketentuan hukum dalam RFQ, terutama untuk kontrak yang kompleks atau bernilai tinggi.

Peran dan jumlah pihak yang terlibat dapat bervariasi tergantung pada ukuran organisasi, nilai pengadaan, dan kompleksitas proyek.",Baseline: Zero-shot (No RAG),No Retrieval,0.389,0.0,0.25933333333333336
9,Apa persyaratan teknis untuk fitur Upload Allocation berdasarkan FR?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,Baseline: Zero-shot (No RAG),,Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks yang diberikan menyatakan tidak ada dokumen atau data referensi untuk pertanyaan ini.,Baseline: Zero-shot (No RAG),No Retrieval,0.0,0.0,0.0
10,Bagaimana mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam FR?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,Baseline: Zero-shot (No RAG),,"Berdasarkan konteks yang diberikan, tidak ada dokumen atau data referensi spesifik yang menjelaskan mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam FR.

Namun, sesuai instruksi dalam konteks untuk menjawab berdasarkan pengetahuan umum model, berikut adalah gambaran umum bagaimana mekanisme pengiriman notifikasi broadcast kepada dealer biasanya bekerja dalam sistem:

Mekanisme pengiriman notifikasi broadcast kepada Dealer Utama umumnya melibatkan beberapa komponen dan saluran, antara lain:

1.  **Sistem Notifikasi Terintegrasi (In-App/Portal Notification):**
    *   Notifikasi dikirim langsung ke dalam platform atau aplikasi khusus yang digunakan oleh Dealer Utama (misalnya, portal dealer, aplikasi manajemen dealer).
    *   Pesan akan muncul sebagai pop-up, banner, atau di bagian ""Pesan/Notifikasi"" dalam antarmuka pengguna.
    *   Ini seringkali merupakan saluran utama karena dealer sudah aktif menggunakan platform tersebut untuk operasional harian.

2.  **Email:**
    *   Sistem mengirimkan email massal ke daftar alamat email resmi Dealer Utama.
    *   Email dapat berisi informasi detail, tautan ke dokumen, atau instruksi lebih lanjut.
    *   Biasanya digunakan untuk pengumuman penting, pembaruan kebijakan, atau informasi yang",Baseline: Zero-shot (No RAG),No Retrieval,0.5,0.0,0.3333333333333333
