No,Pertanyaan,Retrieval Relevance,Answer Faithfulness,Answer Completeness,ROUGE-L,BLEU-1,Precision@K,MRR,Context Coverage,Overall,Avg Chunk Score,Chunks,Time (s),Source Type,Ground Truth,Answer,Sumber,KTE,MSRS,AQI,Dimensi TK
1,"Apa masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo, dan bagaimana workaround sementara yang disepakati?",0.346,0.127,0.867,0.035,0.0,1.0,1.0,0.25,0.275,9.912,8,0.0,BM25: Chat Only (L3),,"Masalah yang ditemukan tim saat proses submit quotation pada board BS-SB menjelang demo adalah adanya bug/error yang menyebabkan proses submit quotation tidak bisa dilakukan, dan ini menjadi *stopper*. Bug ini sebelumnya tidak ada dan telah dicatat dengan Jira card NEWCORE-2406.

Workaround sementara yang disepakati adalah:
1.  Mencoba lagi dari langkah awal.
2.  Menunggu sebentar setelah mengklik tombol ""Quote"" dan masuk ke halaman quotation, hingga semua data terload.
3.  Memastikan package sudah terpilih.
4.  Memastikan tidak ada request yang masih pending di network, lalu menunggu sebentar.
5.  PO_2 juga menyebutkan bahwa terkadang perlu ""refresh"" dan ""gerak pelan di proses kuotasi"".",BM25: Chat Only (L3),0.497,0.625,0.34299999999999997,
2,"Berdasarkan log diskusi tim, mengapa fitur upload allocation tidak dapat didemonstrasikan pada sesi demo 27 Juli 2022?",0.458,0.081,0.933,0.022,0.0,1.0,1.0,0.5,0.299,10.419,8,0.0,BM25: Chat Only (L3),,"Berdasarkan log diskusi tim, fitur upload allocation tidak dapat didemonstrasikan pada sesi demo 27 Juli 2022 karena setelah update dari ko Dhifa, masih ada yang kurang pada file downloadnya, sehingga file tersebut tidak bisa digunakan untuk upload allocation.",BM25: Chat Only (L3),0.507,0.75,0.3453333333333333,
3,Apa yang didiskusikan tim terkait isu NEWCORE-2442 dan apa status penyelesaiannya berdasarkan log percakapan?,0.417,0.133,0.833,0.073,0.0,1.0,1.0,0.5,0.291,9.06,8,0.0,BM25: Chat Only (L3),,"Tim mendiskusikan isu NEWCORE-2442 terkait dengan kebutuhan backend untuk filter status.

Diskusi yang terkait dengan NEWCORE-2442:
*   Pada 25/08/2022, Dev_A menyatakan bahwa NEWCORE-2442 ""kurang di backend untuk filter status WAITING dan keluarkan status CLOSED dan ALLOCATED, dan belom realtime (perlu realtime?)"". Dev_A juga menambahkan bahwa ""tetap butuh backend"".
*   PO_3 pada 24/08/2022 menyebutkan bahwa ""Up-coming = DISCLOSED"" dan memberikan tautan card Jira untuk NEWCORE-2442: `https://moonlay.atlassian.net/browse/NEWCORE-2442`.
*   Pada 26/08/2022, Dev_A kembali menyatakan bahwa NEWCORE-2442 ""kurang di backend untuk terima filter status WAITING"".
*   Kemudian pada 26/08/2022, Dev_A memberikan update bahwa ""tinggal filter WAITING"".

Status penyelesaiannya adalah:
Berdasarkan log percakapan, pada 26/08/2022, Dev_A mengindikasikan bahwa untuk NEWCORE-2442, yang tersisa adalah ""tinggal filter WAITING"", menunjukkan bahwa sebagian besar pekerjaan telah selesai dan hanya bagian filter status WAITING yang masih perlu diselesaikan di backend.",BM25: Chat Only (L3),0.483,0.75,0.3463333333333333,
4,Apa keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk last price dan offering price?,0.346,0.081,1.0,0.034,0.0,1.0,1.0,0.25,0.292,11.625,8,0.0,BM25: Chat Only (L3),,"Keputusan teknis yang didiskusikan tim terkait jumlah desimal (digit) untuk last price dan offering price adalah sebagai berikut:

*   Last price dan offering price bisa desimal, sampai 5 angka di belakang koma.
*   Apa yang diinput (misalnya 30.12345) akan disimpan sesuai input tersebut (30.12345), bukan dibulatkan menjadi 2 angka di belakang koma (misalnya 30.12).
*   Hal ini tidak terpengaruh oleh offering parameter.
*   Sebelumnya, ada pembatasan hardcode di tabel yang hanya menerima dua angka di belakang koma, yang kemudian disepakati untuk disesuaikan agar sesuai dengan input 5 digit desimal.",BM25: Chat Only (L3),0.5405,0.625,0.37166666666666665,
5,Apa status implementasi fitur amend pada modul trade custody berdasarkan diskusi tim Februari 2025?,0.388,0.101,0.769,0.043,0.0,1.0,1.0,0.375,0.26,11.755,8,0.0,BM25: Chat Only (L3),,"Berdasarkan diskusi tim Februari 2025:

Fitur amend pada modul trade custody masih **IN PROGRESS**.

Ada beberapa isu yang perlu diselesaikan:
*   Bug confirm amend belum diperbaiki, di mana logika untuk membuat baris baru versus memperbarui baris lama belum konsisten.
*   Kolom CASH in / CASH out perlu dicek ekspektasinya.

Target penyelesaian fitur ini adalah sebelum naik ke staging.",BM25: Chat Only (L3),0.435,0.6875,0.30433333333333334,
6,Apa saja tahapan utama proses Buyback Cash dalam sistem MOFIDS?,0.613,0.453,0.778,0.18,0.003,1.0,1.0,0.125,0.405,6.93,8,0.0,BM25: PDF (L1),,"Tahapan utama proses Buyback Cash, berdasarkan konteks yang diberikan dan melibatkan sistem BOND_SYS serta EXT_SYS_2, adalah sebagai berikut:

1.  **Proses Persiapan Lelang**:
    *   GOV_DEPT1 menyampaikan pengumuman rencana lelang melalui fax atau email.
    *   BOND_SYS Admin menginput data lelang sesuai pengumuman ke dalam sistem.
    *   GOV_DEPT1 melakukan verifikasi data antara input sistem dan pengumuman.
    *   GOV_DEPT1 melakukan *disclose* lelang.
    *   Proses lelang dapat dilakukan.

2.  **Proses Pelaksanaan Lelang**:
    *   Lelang dibagi menjadi 2 sesi:
        *   **Sesi 1 (general)**: Dealer Utama (DU) dapat melakukan kuotasi baru dan merevisi harga (*price*)/imbal hasil (*yield*) atau kuantitas (*volume*).
        *   **Sesi 2 (restricted)**: DU dapat melakukan kuotasi baru dan merevisi harga (*price*)/imbal hasil (*yield*).

3.  **Proses Alokasi Lelang**:
    *   GOV_DEPT1 mengunduh data kuotasi yang diinput oleh DU ke sebuah file format CSV.
    *   GOV_DEPT1 memasukkan data tersebut ke aplikasi EXT_SYS_2 secara manual untuk menentukan pemenang lelang. Hasil dari EXT_SYS_2 ini kemudian dirapatkan untuk penentuan pemenang.
    *   Data pemenang lelang di-upload kembali ke dalam sistem BOND_SYS menggunakan mekanisme Maker-Checker.
    *   Setelah data berhasil dialokasikan ke BOND_SYS, data transaksi akan langsung dilaporkan ke sistem EXT_SYS_1.
    *   DU dapat merevisi data transaksi yang dimenangkan untuk keperluan *settlement* hingga waktu *settlement*.
    *   Pada waktu *settlement*, data transaksi ini akan dikirimkan oleh sistem BOND_SYS ke CENTRAL_BANK.
    *   Setelah proses upload alokasi selesai, sistem secara otomatis mengirim pesan di Broadcast Box untuk memberitahu DU agar meng-update data Sub Registry.

Informasi mengenai ""sistem MOFIDS"" tidak ditemukan secara spesifik dalam sumber data yang tersedia; proses dijelaskan dalam konteks sistem BOND_SYS, EXT_SYS_2, dan EXT_SYS_1.",BM25: PDF (L1),0.6155,0.5625,0.4703333333333333,
7,Apa perbedaan antara sesi General dan sesi Restricted dalam lelang LPKSBN?,0.389,0.224,0.875,0.085,0.0,1.0,1.0,0.125,0.315,12.028,8,0.0,BM25: PDF (L1),,"Perbedaan antara sesi General dan sesi Restricted dalam lelang LPKSBN adalah sebagai berikut:

*   **Sesi General:** Dealer Utama (DU) dapat melakukan kuotasi baru dan melakukan revisi harga (price)/imbal hasil (yield) atau revisi kuantitas (volume) terhadap kuotasi yang sudah dibuat.
*   **Sesi Restricted:** Dealer Utama (DU) dapat melakukan kuotasi baru dan melakukan revisi harga (price)/imbal hasil (yield), tetapi tidak dapat melakukan revisi kuantitas (volume).

Perlu dicatat bahwa lelang untuk Buyback Cash dan Buyback Debt Switch memiliki kedua sesi (General dan Restricted), sementara lelang Simple Auction hanya terdiri dari 1 sesi, yaitu sesi General.",BM25: PDF (L1),0.5495,0.5625,0.39466666666666667,
8,Siapa saja pihak yang terlibat dalam proses persetujuan (approval) pembuatan RFQ?,0.44,0.092,0.778,0.03,0.0,1.0,1.0,0.25,0.268,7.838,8,0.0,BM25: PDF (L1),,"Berdasarkan konteks yang diberikan, proses ""Entri Persiapan Lelang (RFQ Preparation)"" dilakukan oleh **BOND_SYS Admin**.

Konteks tidak menyebutkan adanya proses persetujuan (approval) atau pihak lain yang terlibat dalam persetujuan pembuatan RFQ. Mekanisme Maker-Checker disebutkan untuk proses ""Upload Alokasi"" (BOND_MOD-BCDS06) dan ""Alokasi"" (BOND_MOD-SA04), tetapi tidak untuk ""Entri Persiapan Lelang (RFQ Preparation)"".",BM25: PDF (L1),0.435,0.625,0.3,
9,Apa persyaratan teknis untuk fitur Upload Allocation berdasarkan FR?,0.435,0.192,0.857,0.106,0.0,1.0,1.0,0.375,0.318,5.271,8,0.0,BM25: PDF (L1),,"Berdasarkan KONTEKS yang diberikan, persyaratan teknis untuk fitur Upload Alokasi adalah sebagai berikut:

1.  **Mekanisme Upload**: Proses upload alokasi menggunakan mekanisme Maker-Checker. Persetujuan oleh Checker dilakukan dengan memasukkan username dan password di confirmation window.
2.  **Waktu Pelaksanaan**: Proses upload alokasi hanya dapat dilakukan sesudah waktu sesi lelang dan sebelum waktu End of Allocation Time yang sudah dibuat pada proses “Entri Persiapan Lelang”.
3.  **Jenis File yang Di-upload**: File dari alokasi EXT_SYS_2 yang akan di-upload ke sistem BOND_SYS pada proses ini hanya file Order (ORD) saja.
4.  **Kolom dalam File Order (untuk lelang Buyback Debt Switch)**:
    *   Qutation ID
    *   Source Bond ID
    *   Source Price
    *   Source Volume per unit (1 unit = 1 juta)
    *   Destination Bond ID",BM25: PDF (L1),0.5245,0.6875,0.385,
10,Bagaimana mekanisme pengiriman notifikasi broadcast kepada Dealer Utama dalam FR?,0.493,0.176,0.875,0.066,0.0,1.0,1.0,0.25,0.322,6.129,8,0.0,BM25: PDF (L1),,"Mekanisme pengiriman notifikasi broadcast kepada Dealer Utama (DU) dalam Functional Requirements (FR) adalah sebagai berikut:

Setelah proses alokasi selesai dilakukan (atau setelah proses upload alokasi selesai dilakukan), sistem secara otomatis akan mengirim pesan di Broadcast Box untuk memberitahu bahwa proses alokasi sudah dilakukan. Dengan notifikasi ini, DU dapat meng-update data Sub Registry.

(Sumber 1, Sumber 2)",BM25: PDF (L1),0.5255,0.625,0.37233333333333335,
11,Berapa nilai default max_price_percentage dan min_price_percentage pada lelang MOFIDS?,0.476,0.05,0.571,0.009,0.0,0.25,1.0,0.25,0.221,1.611,8,0.0,BM25: PostgreSQL (L2),,Nilai default untuk `max_price_percentage` adalah `150.0` dan untuk `min_price_percentage` adalah `30.0`.,BM25: PostgreSQL (L2),0.3105,0.25,0.21,
12,Apa saja kombinasi fraction_type dan fraction_digit yang tersedia untuk tipe Price?,0.307,0.075,0.75,0.028,0.0,0.875,1.0,0.25,0.232,2.989,8,0.0,BM25: PostgreSQL (L2),,"Berdasarkan KONTEKS yang diberikan (Sumber 1 — table:fraction_masters), kombinasi `fraction_type` dan `fraction_digit` yang tersedia untuk tipe Price adalah:

*   **Price**: 2
*   **Price**: 3
*   **Price**: 5",BM25: PostgreSQL (L2),0.4125,0.5625,0.2843333333333333,
13,Apa perbedaan auction_unit antara board BS-SB dibanding board BS dan BC?,0.233,0.042,0.333,0.023,0.0,1.0,1.0,0.25,0.126,2.605,8,0.0,BM25: PostgreSQL (L2),,"Berdasarkan konteks yang diberikan:

*   **Board BS-SB**: memiliki `auction_unit` **Mio**.
*   **Board BS**: memiliki `auction_unit` **Bio**.
*   **Board BC**: memiliki `auction_unit` **Bio**.

Perbedaannya adalah `auction_unit` untuk board BS-SB adalah 'Mio', sedangkan untuk board BS dan BC adalah 'Bio'.",BM25: PostgreSQL (L2),0.1875,0.625,0.13266666666666668,
14,Firma mana saja yang memiliki is_active = Y di firm_default_params dan apa kode custody-nya?,0.398,0.137,0.7,0.039,0.0,0.25,1.0,0.25,0.255,1.503,8,0.0,BM25: PostgreSQL (L2),,"Berdasarkan data dari tabel `firm_default_params`, berikut adalah firma yang memiliki `is_active = Y` beserta kode custody-nya:

| firm_id | s4_sr_investor_account |
|---------|------------------------|
| B-BBTN  | BTANDEPO               |
| B-ANZP  | ANZBDEPO               |
| B-BCA   | CENADEPO               |",BM25: PostgreSQL (L2),0.4185,0.25,0.292,
15,"Dari semua quotation pada RFQ 20140327-01, berapa yang status is_allocated = Y?",0.546,0.037,0.857,0.027,0.0,1.0,1.0,0.5,0.293,3.409,8,0.0,BM25: PostgreSQL (L2),,"Dari semua quotation pada RFQ 20140327-01, terdapat 4 quotation yang memiliki status `is_allocated = Y`.

Berikut adalah detailnya:
*   **Sumber 5:**
    *   Baris 1: `rfq_code` 20140327-01, `is_allocated` Y
    *   Baris 2: `rfq_code` 20140327-01, `is_allocated` Y
*   **Sumber 6:**
    *   Baris 1: `rfq_code` 20140327-01, `is_allocated` Y
    *   Baris 3: `rfq_code` 20140327-01, `is_allocated` Y",BM25: PostgreSQL (L2),0.447,0.75,0.307,
16,Apakah jam sesi pada data RFQ aktual sudah sesuai spesifikasi FR untuk jam operasional?,0.368,0.152,0.7,0.045,0.0,1.0,1.0,0.25,0.253,9.736,8,0.0,BM25: PDF + DB (L1+L2),,"Informasi tidak ditemukan dalam sumber data yang tersedia. Konteks menjelaskan tentang jenis-jenis sesi lelang (misalnya, Simple Auction memiliki 1 sesi general, Buyback Debt Switch dan Buyback Cash memiliki 2 sesi general dan restricted) dan proses terkait RFQ (Request for Quotation) seperti persiapan dan disclose lelang, serta kondisi pembatalan jika data persiapan lelang tidak di-disclose sampai waktu lelang dimulai. Namun, tidak ada informasi mengenai ""jam sesi pada data RFQ aktual"" maupun ""spesifikasi FR untuk jam operasional"" dalam bentuk nilai jam atau rentang waktu spesifik yang memungkinkan perbandingan kesesuaian.",BM25: PDF + DB (L1+L2),0.426,0.625,0.299,
17,"Board type apa saja yang didefinisikan dalam FR, dan berapa yang sudah ada di database?",0.362,0.01,0.0,0.003,0.0,1.0,1.0,0.25,0.075,12.525,8,0.0,BM25: PDF + DB (L1+L2),,Informasi tidak ditemukan dalam sumber data yang tersedia.,BM25: PDF + DB (L1+L2),0.005,0.625,0.004333333333333334,
18,Apakah konfigurasi offering_parameter pada semua RFQ konsisten dengan ketentuan FR?,0.506,0.108,1.0,0.047,0.0,1.0,1.0,0.5,0.332,5.298,8,0.0,BM25: PDF + DB (L1+L2),,"Berdasarkan konteks yang diberikan:

Functional Requirements menyatakan bahwa `offering_parameter` hanya memiliki 2 kemungkinan, yaitu ""by Price"" atau ""by Yield"", dan tidak mungkin dalam satu proses lelang penawaran dilakukan dalam Price dan Yield sekaligus (Sumber 1, poin 6; Sumber 4, poin 7).

Tabel `REQUEST_FOR_QUOTATIONS` memiliki kolom `offering_parameter` dan terdapat 20 baris data RFQ (Sumber 3).

Namun, konteks tidak menyediakan nilai aktual dari `offering_parameter` untuk ke-20 RFQ tersebut. Oleh karena itu, tidak dapat dipastikan apakah konfigurasi `offering_parameter` pada semua RFQ konsisten dengan ketentuan Functional Requirements. Informasi yang tersedia parsial karena hanya mendefinisikan ketentuan dan keberadaan kolom, tetapi tidak menampilkan data isiannya.",BM25: PDF + DB (L1+L2),0.554,0.75,0.385,
19,"Berdasarkan FR dan data aktual, bagaimana settlement_date dihitung untuk board BS?",0.483,0.126,0.714,0.046,0.0,1.0,1.0,0.5,0.274,5.797,8,0.0,BM25: PDF + DB (L1+L2),,"Berdasarkan konteks yang diberikan:

1.  **Functional Requirements (Sumber 1 & 2)** menyatakan bahwa untuk lelang `Debt switch Staple Bonds`, `Settlement Date` akan ""menyesuaikan dengan"" atau ""As Existing"". Ini menunjukkan bahwa metode perhitungan `settlement_date` sudah ada dan tidak ada perubahan spesifik yang dijelaskan dalam dokumen fungsional.

2.  **Data aktual dari tabel `request_for_quotations` (Sumber 3)** menunjukkan contoh untuk `board_id` 'BS':
    *   Untuk `rfq_code` `20140327-01` dengan `board_id` `BS`:
        *   `subregistry_due_date`: `2014-04-01`
        *   `settlement_date`: `2014-04-02`

Dari data aktual tersebut, terlihat bahwa `settlement_date` dihitung sebagai satu hari setelah `subregistry_due_date`. Pola ini juga konsisten dengan data lain di tabel `request_for_quotations`:
*   Untuk `board_id` `BS-SB`: `subregistry_due_date` `2017-10-02`, `settlement_date` `2017-10-03`.
*   Untuk `board_id` `BC`: `subregistry_due_date` `2014-03-17`, `settlement_date` `2014-03-18`.

Meskipun Functional Requirements hanya menyatakan `Settlement Date As Existing` tanpa merinci formula, data aktual menunjukkan bahwa `settlement_date` dihitung dengan menambahkan satu hari ke `subregistry_due_date`.",BM25: PDF + DB (L1+L2),0.42,0.75,0.29533333333333334,
20,"Berdasarkan FR dan data aktual, apakah offering_digit pada RFQ konsisten dengan fraction_masters?",0.355,0.066,0.875,0.013,0.0,1.0,1.0,0.25,0.262,6.072,8,0.0,BM25: PDF + DB (L1+L2),,"Berdasarkan konteks yang diberikan, kolom `offering_digit` tersedia dalam tabel `REQUEST_FOR_QUOTATIONS` (Sumber 6).

Namun, informasi mengenai `fraction_masters` tidak ditemukan dalam sumber data yang tersedia. Oleh karena itu, tidak dapat ditentukan apakah `offering_digit` pada RFQ konsisten dengan `fraction_masters`.",BM25: PDF + DB (L1+L2),0.47050000000000003,0.625,0.318,
21,"Berdasarkan diskusi tim dan FR, apa bug yang ditemukan pada submit quotation BS-SB dan bagaimana solusinya?",0.535,0.112,0.8,0.103,0.088,1.0,1.0,0.5,0.328,14.996,8,0.0,BM25: Hybrid (L1+L2+L3),"Bug yang ditemukan pada proses submit quotation adalah perbedaan hasil perhitungan di tiga halaman kuotasi, khususnya pada kolom vol kali AI atau AI per volume. Dev_A mengakui kemungkinan rumus salah dan akan diperbaiki serta dites ulang. Selain itu, setelah submit, halaman tidak otomatis refresh sehingga status di halaman admin masih terlihat merah — user harus refresh manual agar perubahan berlaku.","Berdasarkan diskusi tim, bug yang ditemukan pada submit quotation BS-SB adalah:
*   **Bug:** Ada ""error waktu submit quotationnya"" untuk BS-SB, dan ini merupakan ""bug"" yang bersifat ""stopper"" (Sumber 1, 27/07/2022, 10:36:00; 10:42:00). PO_2 juga menanyakan ""apa bug nya"" (Sumber 1, 27/07/2022, 10:42:00), namun detail spesifik mengenai penyebab bug tersebut tidak dijelaskan dalam konteks yang tersedia. PO_1 menyebutkan bahwa sebelumnya fitur ini bisa digunakan (Sumber 1, 27/07/2022, 10:42:00).

**Solusi:**
Informasi mengenai solusi spesifik untuk bug submit quotation BS-SB tidak ditemukan dalam sumber data yang tersedia. Diskusi lebih banyak berfokus pada identifikasi masalah dan dampaknya terhadap demo.",BM25: Hybrid (L1+L2+L3),0.456,0.75,0.3383333333333334,
22,Apa keputusan teknis terkait offering digit dan validasi hardcode yang didiskusikan tim?,0.409,0.073,0.7,0.319,0.283,1.0,1.0,0.375,0.357,12.303,8,0.0,BM25: Hybrid (L1+L2+L3),"Keputusan teknis terkait offering digit adalah bahwa last price dan offering price dapat memiliki nilai desimal hingga 5 angka di belakang koma. Offering parameter tidak mempengaruhi input grid — grid tetap menggunakan 2 desimal. Validasi jumlah digit dikontrol di sisi backend, bukan hardcode di form frontend.","Berdasarkan konteks yang diberikan, keputusan teknis terkait offering digit dan validasi hardcode adalah sebagai berikut:

1.  **Kondisi Awal:** Dev_B mengonfirmasi bahwa pembatasan dua angka di belakang koma untuk penyimpanan data (misalnya, 30.12345 menjadi 30.12) adalah karena validasi hardcode di tabel",BM25: Hybrid (L1+L2+L3),0.38649999999999995,0.6875,0.36399999999999993,
